symbol,address,signal_price,entry_price,exit_price,pnl_pct,peak_pct,reason,signal_type,pushed_at,buy_score
HEDGE,ESWDf3jjQmCQR3TZB9jCaJncTbgmVS9NuHxUDzeMpump,3.241687267616e-08,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 00:05:28.496074+08:00,50
PoopHouse,HrkoAjeudiq5uBD65XFvuY6ttajWKuPjZYpTCcojpump,5.068140124847527e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 00:16:50.126529+08:00,35
FAIRY,FSQeQWEWubQ3ek74N2QBNxL6RwzY9zWuNPCNfGEypump,7.965127968347394e-06,0,0,0.0,0.0,layer2_no_entry,unknown,2026-05-22 00:21:37.664222+08:00,75
DINO,CwU8ww2sFBPFt75LpCJ8wA2N4ASzW9nSn6U6hZYQpump,6.3768384548603725e-06,3.8261030729162235e-06,5.732977236920691e-06,0.49838546627314567,0.7628064309095831,trailing_stop,dump_pump,2026-05-22 00:22:56.903799+08:00,75
Blep,DpjU3KvrogFxDMTSRmzBTfJVbQqtSsM5WFZaMNHibonk,1.9218816423531642e-05,0,0,0.0,0.0,layer2_no_entry,dump_pump,2026-05-22 00:23:08.034269+08:00,75
FTC,7ukTyh5j6BCrijX2JjCukEYp89Hc2EWdbGixhn4zpump,8.569314892938512e-06,5.1415889357631075e-06,4.113271148610486e-06,-0.19999999999999993,0.0,early_cut,dump_pump,2026-05-22 00:27:34.039578+08:00,75
Pegcoin,H3CbcEkKt3V7LMsmpqNfHZUtRsiG9tMSaxUeUejPpump,8.181308634411338e-05,0,0,0.0,0.0,layer2_no_entry,unknown,2026-05-22 00:33:39.451233+08:00,55
PEPE,BQEfA6HrTaFyn9Zc4BfeeV4xhVPEC6iFqBUajSPCpump,1.972537170586541e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 00:35:26.759532+08:00,55
fiat,HK6WbrGTtMS6miXrHgArM1q7HFq8ogKQbT2efknxpump,1.19731615905921e-05,0,0,0.0,0.0,layer2_no_entry,unknown,2026-05-22 00:35:53.121661+08:00,75
BLUE,5XFNmgEiNTu7S5m6WrV2P1By7kmSrXGmirAa9yyqTRiX,9.088541176224449e-09,5.45312470573467e-09,4.0898435293010024e-09,-0.24999999999999997,0.0,hard_stop,dump_pump,2026-05-22 00:56:39.920552+08:00,55
fuck you,CAUadWT8boYcyMHEVkbEFeCREM8SEwuoa4mB6FLEpump,8.222815817684672e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 01:02:48.828567+08:00,75
runner,4fMSbMESCqMmGA3o2giYwhoPR94B28uWpYeqL5NQpump,3.3495460442133027e-05,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 01:07:00.381474+08:00,50
uBALL,9hxNxhUxSfcKzq5Cbau5og92i35eK6uKsfiAVz7Zpump,1.3624765817313192e-05,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 01:20:23.951963+08:00,75
VOID,G4HGyrsZVCKKh2gxGhFZfDPh9QsEJuS1e2nb8csbhkYV,2.0589281274281416e-05,1.2353568764568849e-05,9.88285501165508e-06,-0.19999999999999993,0.0,early_cut,unknown,2026-05-22 01:25:17.125006+08:00,75
Deflation,2HgsiPeZCVnBhQ78BDfUipvhTN3zLdftV8dSX386pump,4.748292090633583e-06,0,0,0.0,0.0,layer1_pump_dump_skip,pump_dump,2026-05-22 01:27:23.237389+08:00,75
RISK,5NQQZtJqQW9pk8Jn5YuZZ5qbEjTe3LF5qFJ733qkpump,9.360256727407713e-06,0,0,0.0,0.0,layer3_zero_detected,dump_pump,2026-05-22 01:28:14.817087+08:00,50
