valid,invalid_reason,id,address,symbol,chain,signal_type,signal_types,abnormal_rule,trend_interval,event_ts,event_time,push_count,last_event_ts,last_event_time,snapshot_id,current_mcap,first_signal_mcap,first_signal_ts,first_signal_time,first_signal_change_pct,price_change_pct,max_abnormal_mcap,ath_mcap,liquidity,pool_mcap_ratio,age_sec,resolution,entry_price_field,entry_price,entry_time,peak_price,peak_time,lowest_price,lowest_time,post_peak_low_price,post_peak_low_time,current_price,current_time,max_gain_pct,max_gain_multiple,current_return_pct,entry_drawdown_pct,lowest_return_pct,high_to_low_drawdown_pct,high_to_current_drawdown_pct,time_to_peak_min,time_to_low_min,time_peak_to_low_min,volume_usd,candles
True,,250,6qdzMx4c9rL2X3Ns3SwZ8uEo4zReDPjdXpAEmpo7pump,BABYTROLL,sol,quiet_runup,quiet_runup,TRENDING_QUIET_RUNUP,1m,1778862889,2026-05-16 00:34:49,1,1778862889,2026-05-16 00:34:49,57978,1377788.95226816,1377788.95226816,1778862889,2026-05-16 00:34:49,0.0,91.0140672607444,0.0,2811847.806818749,119722.4527183104,0.0868946238255282,460347,5m,close_at_signal,0.0016848816313962955,2026-05-16 05:15:00,0.002228103299139935,2026-05-16 12:40:00,0.001412595342998108,2026-05-16 07:20:00,0.002067837213574,2026-05-16 12:40:00,0.002067837213574,2026-05-16 12:40:00,32.24093951890619,1.3224093951890619,22.7289309255714,-16.160558897691722,-16.160558897691722,7.192937851122028,7.192937851122028,725.1833333333333,405.18333333333334,0.0,574504.6382963534,90
True,,252,ENsfLWCfcSqVqnK1PjoCsGdvvb2nzjT1zfJKzZLUpump,Nigga,sol,abnormal,abnormal,OLD_MCAP_4W_UP15,1m,1778862908,2026-05-16 00:35:08,3,1778892816,2026-05-16 08:53:36,57981,156386.938838512,156386.938838512,1778862907,2026-05-16 00:35:07,0.0,36.88493878764915,0.0,170496.21243938047,34529.6829719296,0.22079646310863327,748108,5m,close_at_signal,0.00011503471260068575,2026-05-16 03:10:00,0.00015814353231872262,2026-05-16 06:50:00,0.00011114768843142253,2026-05-16 04:10:00,0.0001324872496133732,2026-05-16 08:50:00,0.0001418682388718475,2026-05-16 12:40:00,37.4746185246521,1.374746185246521,23.326460043680598,-3.3790010696649886,-3.3790010696649886,16.22341573453775,10.2914695329265,374.8666666666667,214.86666666666667,120.0,25844.523643337816,90
True,,253,FUkQZqqYSx4rgCRJfMoTyeFGbvN89a7Q1iMz11K8pump,CROWDCAM,sol,abnormal,abnormal,OLD_MCAP_4W_UP15,1m,1778862915,2026-05-16 00:35:15,5,1778896016,2026-05-16 09:46:56,57982,115735.01022572801,115735.01022572801,1778862914,2026-05-16 00:35:14,0.0,18.11292064385413,0.0,529441.8421746438,32980.21085499244,0.2849631307818462,449579,5m,close_at_signal,8.860025992111477e-05,2026-05-16 05:05:00,9.900830101493293e-05,2026-05-16 09:20:00,7.248951480574666e-05,2026-05-16 05:40:00,8.065502337707464e-05,2026-05-16 12:40:00,8.065502337707464e-05,2026-05-16 12:40:00,11.747190248747529,1.1174719024874753,-8.96750929524831,-18.183631887437247,-18.183631887437247,18.537109969284447,18.537109969284447,524.75,304.75,200.0,36654.79567556511,90
True,,254,DSZeB6pCzZsM43gTz7jakiYeCafinsNMKcpeB1FApump,Wasabi,sol,abnormal,"abnormal,quiet_runup",OLD_MCAP_4W_UP15,1m,1778862922,2026-05-16 00:35:22,4,1778889496,2026-05-16 07:58:16,57983,446996.1456355,446996.1456355,1778862921,2026-05-16 00:35:21,0.0,39.44414301630258,0.0,535500.5900096145,61979.713090176,0.13865827187851623,2505190,5m,close_at_signal,0.0004803148694176895,2026-05-16 04:10:00,0.0006504392033886992,2026-05-16 08:55:00,0.0004528732044283399,2026-05-16 04:10:00,0.0005910852433461547,2026-05-16 10:30:00,0.0006366211823475295,2026-05-16 12:40:00,35.419335274225475,1.3541933527422547,32.54246805212135,-5.713265763064667,-5.713265763064667,9.125212584561082,2.1244139297231235,499.6333333333333,214.63333333333333,95.0,46237.39969357407,90
True,,255,2DfBjrPFZjDTiCY6pxchS6aSdUdEpkm7PdqpovHjBAGS,PRIMIS,sol,quiet_runup,quiet_runup,TRENDING_QUIET_RUNUP,1m,1778862952,2026-05-16 00:35:52,1,1778862952,2026-05-16 00:35:52,57988,2238196.31067952,2238196.31067952,1778862952,2026-05-16 00:35:52,0.0,562.0149747137616,0.0,2783824.835686089,132017.48989094,0.05898387431925454,10280468,5m,close_at_signal,0.0011169474079977563,2026-05-16 05:15:00,0.0014954164700478683,2026-05-16 06:40:00,0.0010240430941472888,2026-05-16 08:25:00,0.0010240430941472888,2026-05-16 08:25:00,0.001146370865942274,2026-05-16 12:40:00,33.884232985379036,1.3388423298537904,2.6342742490680138,-8.317698146326169,-8.317698146326169,31.521210668857414,23.341029813214607,364.1333333333333,469.1333333333333,105.0,191271.78423237594,90
True,,256,56bvE5B3AkzTuM9QDRYhcP4juUbZ4fjiDafF5veYpump,CATCH,sol,new_revival,new_revival,NEW_BOTTOM_REVIVAL,5m,1778863187,2026-05-16 00:39:47,8,1778894727,2026-05-16 09:25:27,58015,175384.23497063,184893.21789838,1778827823,2026-05-15 14:50:23,-5.142959290684359,27.79427371674079,0.0,342494.4860325352,37351.49988591132,0.21296954023356907,64619,5m,close_at_signal,0.00012926021674002232,2026-05-16 05:15:00,0.00014069583702108187,2026-05-16 05:15:00,2.682998075957604e-05,2026-05-16 10:45:00,2.682998075957604e-05,2026-05-16 10:45:00,3.062792966177112e-05,2026-05-16 12:40:00,8.846975944702073,1.0884697594470207,-76.30521560754283,-79.24343511388467,-79.24343511388467,80.93050844457052,78.23110455131531,275.21666666666664,605.2166666666667,330.0,103687.06439673908,90
True,,257,AWpMr3W2oWWeWkW1Qr4zQTMAsoaiZZWCJMhV6VPnowpv,ICEMAN,sol,abnormal,abnormal,OLD_MCAP_4W_UP15,5m,1778863218,2026-05-16 00:40:18,3,1778899989,2026-05-16 10:53:09,58020,122848.826317815,90795.2797586088,1778834086,2026-05-15 16:34:46,35.30309796326942,36.114726093123366,0.0,985143.5073826339,33847.6077164288,0.2755224346129579,2142276,5m,close_at_signal,5.099586446078717e-05,2026-05-16 05:15:00,5.446186608891466e-05,2026-05-16 07:45:00,3.1213486414061984e-05,2026-05-16 09:10:00,3.1213486414061984e-05,2026-05-16 09:10:00,3.827278797412933e-05,2026-05-16 12:40:00,6.796632755961318,1.0679663275596132,-24.949231905738433,-38.79212217676332,-38.79212217676332,42.68744599551047,29.72552958129452,424.7,509.7,85.0,54477.48228275497,90
True,,258,AjLhrxN2yrCe45Y2KGPMZCkBm6NpN43jWqPkdZq6pump,IDLE,sol,abnormal,abnormal,OLD_MCAP_4W_UP15,5m,1778863224,2026-05-16 00:40:24,5,1778900108,2026-05-16 10:55:08,58021,346427.529974328,259434.48467205,1778828447,2026-05-15 15:00:47,33.5317972135607,70.87621682445828,0.0,384923.89566055924,53502.6597158144,0.15444113151105288,322025,5m,close_at_signal,0.00033206046538944634,2026-05-16 05:10:00,0.0004723349925323701,2026-05-16 12:20:00,0.0003296662465139658,2026-05-16 05:10:00,0.00043713265483188643,2026-05-16 12:25:00,0.0004455255900735786,2026-05-16 12:40:00,42.243669982937384,1.4224366998293738,34.17001917137541,-0.7210189483630836,-0.7210189483630836,7.452832895515604,5.675929770745114,699.6,269.6,5.0,49868.32164002485,90
True,,259,AbD4royWBbDGPfStspdWibKbMcadawknP7q6JwxQjNyP,MARMOT,sol,new_revival,new_revival,NEW_BOTTOM_REVIVAL,5m,1778863230,2026-05-16 00:40:30,4,1778892443,2026-05-16 08:47:23,58022,113427.54346364,107742.647028555,1778853397,2026-05-15 21:56:37,5.276366036912323,25.391465568201653,0.0,473976.27478341374,29774.2802875392,0.2624960338410534,64417,5m,close_at_signal,4.5549394934171385e-05,2026-05-16 05:05:00,7.697735640257267e-05,2026-05-16 08:35:00,2.5460865645441606e-05,2026-05-16 06:40:00,4.7041087538537155e-05,2026-05-16 10:40:00,6.012801132843812e-05,2026-05-16 12:40:00,68.99753885605158,1.6899753885605158,32.00616916061332,-44.10273576139046,-44.10273576139046,38.8897076530872,21.888703199960023,474.5,359.5,125.0,86192.82858291586,90
True,,260,8116V1BW9zaXUM6pVhWVaAduKrLcEBi3RGXedKTrBAGS,GSD,sol,abnormal,abnormal,OLD_MCAP_4W_UP15,1m,1778863468,2026-05-16 00:44:28,1,1778863468,2026-05-16 00:44:28,58040,610678.679389625,610678.679389625,1778863467,2026-05-16 00:44:27,0.0,35.764314480631086,0.0,629974.4064817613,64598.84679660528,0.10578205687673918,10260120,5m,close_at_signal,0.0005862001723670378,2026-05-16 00:40:00,0.0006683814534230152,2026-05-16 01:00:00,0.0004714994529815154,2026-05-16 03:55:00,0.0004714994529815154,2026-05-16 03:55:00,0.00053932055795854,2026-05-16 12:40:00,14.019320520520285,1.1401932052052028,-7.997202426468252,-19.56681775141218,-19.56681775141218,29.45653255834646,19.30946689252211,15.533333333333333,190.53333333333333,175.0,50444.83826877718,89
