valid,invalid_reason,id,address,symbol,chain,signal_type,signal_types,abnormal_rule,trend_interval,event_ts,event_time,push_count,last_event_ts,last_event_time,snapshot_id,current_mcap,first_signal_mcap,first_signal_ts,first_signal_time,first_signal_change_pct,price_change_pct,max_abnormal_mcap,ath_mcap,liquidity,pool_mcap_ratio,age_sec,resolution,entry_price_field,entry_price,entry_time,peak_price,peak_time,lowest_price,lowest_time,post_peak_low_price,post_peak_low_time,current_price,current_time,max_gain_pct,max_gain_multiple,current_return_pct,entry_drawdown_pct,lowest_return_pct,high_to_low_drawdown_pct,high_to_current_drawdown_pct,time_to_peak_min,time_to_low_min,time_peak_to_low_min,volume_usd,candles
True,,1,56bvE5B3AkzTuM9QDRYhcP4juUbZ4fjiDafF5veYpump,CATCH,sol,new_revival,new_revival,NEW_BOTTOM_REVIVAL,,1778824669,2026-05-15 13:57:49,3,1778840032,2026-05-15 18:13:52,0,144176.400512034,96605.50159726839,1778818773,2026-05-15 12:19:33,49.24243249942476,36.680914338781974,0.0,254955.23989170464,0.0,0.23329468731257744,26101,5m,open,0.00013412918,2026-05-15 13:55:00,0.00034249598,2026-05-15 18:15:00,0.00010365939,2026-05-15 14:00:00,0.00011692329,2026-05-15 23:10:00,0.00013054885,2026-05-15 23:15:00,155.34785197374651,2.553478519737465,-2.669314760591246,-22.716749628977073,-22.716749628977073,65.86141244635922,61.88310005857587,257.18333333333334,2.183333333333333,295.0,396455.431189226,113
True,,20,CQMtJmAwFv1oAobMwRfv6ir4efTWdhfNp7S1R72Rpump,◎,sol,abnormal,"abnormal,quiet_runup",OLD_MCAP_4W_UP30,,1778825553,2026-05-15 14:12:33,7,1778837471,2026-05-15 17:31:11,0,74748.50099572411,74748.50099572411,1778825552,2026-05-15 14:12:32,0.0,61.33063340781467,0.0,147842.11157590302,0.0,0.30376397580171594,205112,5m,open,6.8236195e-05,2026-05-15 14:10:00,8.4830811e-05,2026-05-15 14:45:00,1.2573515e-05,2026-05-15 21:15:00,1.2573515e-05,2026-05-15 21:15:00,3.2429403e-05,2026-05-15 23:15:00,24.319374783426895,1.243193747834269,-52.47477823169946,-81.57354025968183,-81.57354025968183,85.1781270840379,61.77166925823685,32.45,422.45,390.0,150726.80618327062,110
True,,22,CowyrEtbMX5oT211m3u9ayaBcTknsP2wh2zMWghbpump,DAD,sol,abnormal,abnormal,OLD_MCAP_4W_UP30,,1778825669,2026-05-15 14:14:29,3,1778855099,2026-05-15 22:24:59,0,185493.78337008858,185493.78337008858,1778825668,2026-05-15 14:14:28,0.0,35.55756769582089,0.0,1557027.002209672,0.0,0.21133805389039295,182122,5m,open,0.00018747149,2026-05-15 14:10:00,0.000230534,2026-05-15 21:45:00,0.00010689654,2026-05-15 16:35:00,0.00013406589,2026-05-15 23:15:00,0.00013406589,2026-05-15 23:15:00,22.97016469010835,1.2297016469010835,-28.48731825836558,-42.97984189489292,-42.97984189489292,41.84550218189075,41.84550218189075,450.51666666666665,140.51666666666668,90.0,81573.3325328657,110
True,,23,2N9BXbRtyZM4YHzj9wvteW1Nuq6B5DzDwh57dDmZpump,PAIN,sol,abnormal,"abnormal,quiet_runup",OLD_MCAP_4W_UP30,,1778825795,2026-05-15 14:16:35,9,1778857820,2026-05-15 23:10:20,0,351707.61751645996,351707.61751645996,1778825794,2026-05-15 14:16:34,0.0,36.683665100742175,0.0,557696.7121368808,0.0,0.16582585405434136,317372,5m,open,0.00034678461,2026-05-15 14:15:00,0.00073783465,2026-05-15 19:25:00,0.00030266314,2026-05-15 15:05:00,0.00041212276,2026-05-15 22:10:00,0.00058277247,2026-05-15 23:15:00,112.76453127490291,2.127645312749029,68.05026901280308,-12.723018475358527,-12.723018475358527,44.14429303367632,21.015844132557337,308.4166666666667,48.416666666666664,165.0,541419.8684534107,109
True,,24,2AF7CqwieUjUPALL7icuZtL3X7wENdjUjGBMmfV2pump,TINY,sol,quiet_runup,quiet_runup,TRENDING_QUIET_RUNUP,,1778825911,2026-05-15 14:18:31,1,1778825911,2026-05-15 14:18:31,0,101944.871501151,101944.871501151,1778825911,2026-05-15 14:18:31,0.0,115.91720500292797,0.0,128347.71032498813,0.0,0.26011653718138183,373445,5m,open,0.00010057491,2026-05-15 14:15:00,0.00011546608,2026-05-15 15:10:00,7.3161985e-05,2026-05-15 22:35:00,7.3161985e-05,2026-05-15 22:35:00,8.127466e-05,2026-05-15 23:10:00,14.806048546302453,1.1480604854630245,-19.18992520102678,-27.256226229782364,-27.256226229782364,36.637681819630494,29.611657380245347,51.483333333333334,496.48333333333335,445.0,31632.3972336091,94
True,,25,124Yn3UCD4YBb8JcyW6A2g9jjgG4Ykp8VBp7XQNQpump,SELLOR,sol,abnormal,"abnormal,quiet_runup",OLD_MCAP_4W_UP30,,1778826183,2026-05-15 14:23:03,6,1778854497,2026-05-15 22:14:57,0,102313.267231004,102313.267231004,1778826182,2026-05-15 14:23:02,0.0,31.179408556073916,0.0,857128.5789173208,0.0,0.347757911197146,806949,5m,open,9.5204835e-05,2026-05-15 14:20:00,0.00018946158,2026-05-15 20:55:00,7.8841316e-05,2026-05-15 19:05:00,0.0001243328,2026-05-15 22:25:00,0.00013797751,2026-05-15 23:15:00,99.00415771951077,1.9900415771951077,44.926998718079815,-17.187697452550598,-17.187697452550598,34.375718813281296,27.17388401384597,391.95,281.95,90.0,123349.80389843539,74
True,,26,69aniAWVnZcqPbzeMqN4w2kaYZLryt7ESdj3GuGUpump,Tom,sol,quiet_runup,quiet_runup,TRENDING_QUIET_RUNUP,,1778826234,2026-05-15 14:23:54,1,1778826234,2026-05-15 14:23:54,0,44838.9462116964,44838.9462116964,1778826234,2026-05-15 14:23:54,0.0,130.7654094750549,0.0,65519.03327605598,0.0,0.3816111647169759,179077,5m,open,4.4844886e-05,2026-05-15 14:20:00,5.9257354e-05,2026-05-15 21:00:00,3.8052377e-05,2026-05-15 20:00:00,5.0202721e-05,2026-05-15 23:05:00,5.3467543e-05,2026-05-15 23:10:00,32.1384873182641,1.321384873182641,19.227737584169557,-15.146674695527162,-15.146674695527162,15.280184464530766,9.770620200152713,396.1,336.1,125.0,13436.278050049401,79
True,,27,EjvsudvUcxrZwCWARwdS9BmEPisvZLjmnkdegeRbpump,JOE,sol,new_revival,new_revival,NEW_BOTTOM_REVIVAL,,1778826448,2026-05-15 14:27:28,3,1778833584,2026-05-15 16:26:24,0,61183.93830251761,61183.93830251761,1778826447,2026-05-15 14:27:27,0.0,33.83385057791457,0.0,325470.7939788555,0.0,0.3598299417760221,36338,5m,open,5.6737726e-05,2026-05-15 14:25:00,8.3339463e-05,2026-05-15 16:25:00,1.4386902e-05,2026-05-15 23:00:00,1.4386902e-05,2026-05-15 23:00:00,1.6421763e-05,2026-05-15 23:10:00,46.88544796455183,1.4688544796455183,-71.05671277696256,-74.64314660760284,-74.64314660760284,82.73698739815494,80.29533379642727,117.53333333333333,512.5333333333333,395.0,117793.168574821,106
True,,29,Gx4Jc43FdokhuMA9kgseBz8KD2T1pXWo2pmEv8PGpump,芽小七,sol,new_revival,new_revival,NEW_BOTTOM_REVIVAL,,1778826686,2026-05-15 14:31:26,1,1778826686,2026-05-15 14:31:26,0,55720.060365255005,55720.060365255005,1778826684,2026-05-15 14:31:24,0.0,31.796956189311707,0.0,308860.963067774,0.0,0.40581132459759056,60390,5m,open,5.7627712e-05,2026-05-15 14:30:00,7.5707246e-05,2026-05-15 18:30:00,1.4911208e-05,2026-05-15 23:00:00,1.4911208e-05,2026-05-15 23:00:00,1.6493826e-05,2026-05-15 23:15:00,31.37298596897271,1.313729859689727,-71.3786554635381,-74.12493489243508,-74.12493489243508,80.30412042725739,78.21367587456555,238.56666666666666,508.56666666666666,270.0,65798.71335082006,106
True,,30,2zRJoY7uw5erDJ9Bu4GBYrndWqvf4YqBLupCqgbHpump,ANT,sol,quiet_runup,quiet_runup,TRENDING_QUIET_RUNUP,,1778826748,2026-05-15 14:32:28,1,1778826748,2026-05-15 14:32:28,0,52204.110157232,52204.110157232,1778826748,2026-05-15 14:32:28,0.0,89.51083239812023,0.0,126770.23270825265,0.0,0.4261740961602697,140244,5m,open,6.0521573e-05,2026-05-15 14:35:00,8.3039892e-05,2026-05-15 19:15:00,4.074326e-05,2026-05-15 15:55:00,5.2263625e-05,2026-05-15 22:55:00,5.4446179e-05,2026-05-15 23:15:00,37.207094732980586,1.3720709473298058,-10.038394078091784,-32.67977354124619,-32.67977354124619,37.062026766605136,34.433706874281576,282.53333333333336,82.53333333333333,220.0,25800.0395202466,96
