Txhash,                        BlockTimeUnix,                        BlockTime,                        Fee(SOL),                        TokenAccount,                        ChangeType,                        ChangeAmount,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenDecimals,                        TokenMultiplier
2MU3sxTk1uj7LPicXiJ5Tn8TxZbwEcRBjenRthAoszNuN8hSWdFoAzfLT8rn1LyDjvCqeXwDeu2UjDTPvNia4ojc,1777560731,2026-04-30T14:52:11,0.000014722,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,935246,2046900803,2045965557,So11111111111111111111111111111111111111111,9,1.0
Gqo6Mvi3cHRSFCvh58Gar4E8bfcz5epEtfmMz1CmfjYAidS4wZa6A2cjEUCUGAw4sNx74EmHTaRJdtjUaXpyVXT,1777560334,2026-04-30T14:45:34,0.000013,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,inc,1999000000,47900803,2046900803,So11111111111111111111111111111111111111111,9,1.0
4FWfAfKGnRoLfvUdfF8G8xwFueSSKxxxFxkYRf797sHHEiq6sVELu6NdKpK93zALNZrEg7D38yJeBxuq8tCYnfaV,1777560248,2026-04-30T14:44:08,0.000017046,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2982273,50883076,47900803,So11111111111111111111111111111111111111111,9,1.0
38NLLqby4tFkgEGQFeNfHWgn8zMFS51qbGJm5QgvxYSYQRbjXU8WXDSCVAPMi6cBu46vc1vWuJE9QA3gtVbJH1Cs,1777558991,2026-04-30T14:23:11,0.000023386,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,964124,51847200,50883076,So11111111111111111111111111111111111111111,9,1.0
31sL2CvreUbgNiyAszGXWyX42P3iDhRfVVJe4nxu1YMAwz1ALdu3E4VFjL9WnrfG2GLAs2G3X7MCE8eHLgFRcpGN,1777558255,2026-04-30T14:10:55,0.000016543,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,941316,52788516,51847200,So11111111111111111111111111111111111111111,9,1.0
5jDzAAKAYkrXWWyEWCKYNiffi8oVgWHFQuhcRHNivBHpCisSK5kBug6gkGimAHjA9jWgKhmdSjptk3heGJ2JGRkW,1777558216,2026-04-30T14:10:16,0.000015485,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,937790,53726306,52788516,So11111111111111111111111111111111111111111,9,1.0
5byNgZvKrwEacqUwacCZvWQ9VxeXh2M7SdxUd3sCM2B1PJFGhDvqCZ1qzZNpBgFRcaMTwbQAgq9mdcbxUCGJS12z,1777558096,2026-04-30T14:08:16,0.000014154,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,933351,54659657,53726306,So11111111111111111111111111111111111111111,9,1.0
3z3QWX9uQjXNDxwCqsA48ECqUXcAGXLNj6knJ3ZFtEMsd8EcEv6oMfzaLDjVS5EgExynFLUFgeC9osBBZvWV7jEd,1777556273,2026-04-30T13:37:53,0.000017936,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,945958,55605615,54659657,So11111111111111111111111111111111111111111,9,1.0
3zZw2q5EDy9Che74BZBy4DjjQ7QY4FvX8KkGJMHz37iog3Gr4ZZamo96ec4MuWDfmzWAeZHupxhdeRxqcghsAHcH,1777555625,2026-04-30T13:27:05,0.000015354,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,3011431,58617046,55605615,So11111111111111111111111111111111111111111,9,1.0
4HQJZAsjY9qiEzEw3c7e8dasEvjGrfEYg4EQLTqKimX9BsT48TWE8QVWjvEQzTgcHGv83RVKc8Yr3YjGQGBXaWQw,1777554623,2026-04-30T13:10:23,0.00001463,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,934940,59551986,58617046,So11111111111111111111111111111111111111111,9,1.0
5wR2V7hyqhHnLVsVVfZMbLUAdpSLJJqQKzRBBLgceWSoPQSBKQSwBaTo28SEJt89FcWj8ebf5AR9g9m3raa1uJhE,1777554324,2026-04-30T13:05:24,0.000019783,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,952116,60504102,59551986,So11111111111111111111111111111111111111111,9,1.0
47dRQLe1vTxZnxa6M2Jy8SH5b64DzVK1Jp8iXfe2kw8DgPKGSZDmGDkaYTCnwgu1jFKqvWe1VMBWDNedDxoAyELJ,1777554130,2026-04-30T13:02:10,0.000014837,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2974910,63479012,60504102,So11111111111111111111111111111111111111111,9,1.0
3VH8WNocCirALLFYGHZmfbWwXbVg2GAFGVJBXAzi7xwPput1VNeZatyrWLL4yzbbQBSQuusCtXhjGyYuSXPwoZPu,1777551379,2026-04-30T12:16:19,0.000051215,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,1056889,64535901,63479012,So11111111111111111111111111111111111111111,9,1.0
4t54sex94xxst186sx4wMQrrjf1HYohFpQEMniXLrXTe9d31V4bHGYcw2z8JeYMU4aiE5tpsQ82TrTX4YmKxd4yV,1777551055,2026-04-30T12:10:55,0.000018223,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,946916,65482817,64535901,So11111111111111111111111111111111111111111,9,1.0
3m7HtPJHukPG7ovYpHXVXHtKa2y53beVCSJWXBqTkF4eeLedjNDtJV45pg7ts6Y8RRVx4j7s7Up9s7x3HF4fnbY,1777550209,2026-04-30T11:56:49,0.000016257,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,940361,66423178,65482817,So11111111111111111111111111111111111111111,9,1.0
2tvtaQh44RFc1L8MLnsaZq756i2fRn2ig8GdLtwguWoW2h9NA5PP4xEo1Kpd1wigdLNufnLJB9nMmbLShHgD5ieT,1777549634,2026-04-30T11:47:14,0.000048274,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,3267326,69690504,66423178,So11111111111111111111111111111111111111111,9,1.0
azPXvRGFUhkXzAQ1E7HkdtXdhaJN9X5PaB8vFVV64VkBzY9jgYRLrPt9JZxMo9bfRfX9UKtLu1DJMtUUYxzqbev,1777549288,2026-04-30T11:41:28,0.000015104,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,936520,70627024,69690504,So11111111111111111111111111111111111111111,9,1.0
DRTkY9v8WiRzC8sAT1LcqqvRVBJay2LEybWxErWutQ6AKbnoeFquZQ5kzQknkB5sjZQD2SbDm46474bmAcVkysw,1777547490,2026-04-30T11:11:30,0.000018153,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,946683,71573707,70627024,So11111111111111111111111111111111111111111,9,1.0
26c4Y17CBHHgqaFyLM94ijDpFUWHtfS8bnaA9iDXQEP62bzzbYGhMioXcbaW7nyfyCwYcX4UztgC7BSLesiN9kfs,1777546201,2026-04-30T10:50:01,0.000016311,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,940542,72514249,71573707,So11111111111111111111111111111111111111111,9,1.0
3LjToWaepvqWxMfpDy4JEgHAYExwPPRsSCtayc8Jx5i78ckutpdUfN2BDC6hrRujXqtS3azmR3sAqYgSNxq91ecY,1777546153,2026-04-30T10:49:13,0.000011747,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,925331,73439580,72514249,So11111111111111111111111111111111111111111,9,1.0
57NZB4wKYg9yFYHPHrq6ifctYq8ptNiQAXV55fVqxZdRFjn1xp4kU3M9QFmZccd4aE4yC7sDxxoexTXzav97piX7,1777546059,2026-04-30T10:47:39,0.000012209,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,926867,74366447,73439580,So11111111111111111111111111111111111111111,9,1.0
3VZMPaV7K8DXny5ygWJGTEeqSGKexWNH3FKSYBAJZ8Smaiu45TUcqrihaFjzBWAjCwKoDrDn8oN6zp1QLp1MA1vW,1777544892,2026-04-30T10:28:12,0.000014748,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,935331,75301778,74366447,So11111111111111111111111111111111111111111,9,1.0
2NDYAXdYLQpWukFLNnZpCQjqj6AYBrpongwsPHxHcCaqCJdpjnq8QmLiL7Xu8YdKdCfYi2rAmiHbmJCqJ2aU5sru,1777542234,2026-04-30T09:43:54,0.000009363,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,917382,76219160,75301778,So11111111111111111111111111111111111111111,9,1.0
4xWFGjEyUdMd4D3FQTM5rbXfZLZYabhpKrX8v7ZhBpR8cioVUnbTP9edja8mcbd2YN7TeJYEsxUpv94NHtXiFKFM,1777542097,2026-04-30T09:41:37,0.00001539,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2976753,79195913,76219160,So11111111111111111111111111111111111111111,9,1.0
4U3ebpzmJhnZea3oZAwKBi9qTvBaRq2FqyzSqTzikBa1QuuoDJX8aUCGbmVRPcpmfpmJ8SQtAih883H8V8PZZJrJ,1777541972,2026-04-30T09:39:32,0.000015158,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,936698,80132611,79195913,So11111111111111111111111111111111111111111,9,1.0
5cdnh8ZB9tVoHxJJADsU9tqrBMpzcsNBLpFEsEUrL5fv7A1TYA25pPvr5r2JzYbjamN6mt6DmDjPc9hqzpLUgyAo,1777541918,2026-04-30T09:38:38,0.00001973,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,951940,81084551,80132611,So11111111111111111111111111111111111111111,9,1.0
3uGpuJuCH8gnYhTiLCBt9aznDGgWTw3KDRfqziVNvnUAS661zzXYj61NUhYi8efhvhre5ZcWhVVpdRUoneRypNRB,1777541712,2026-04-30T09:35:12,0.000013184,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,930120,82014671,81084551,So11111111111111111111111111111111111111111,9,1.0
65pdbAK4XrC7oCfTNRL5wVbeB7aTjeLpoUHEWC9BKHnxq1HDZGeX5vjRFt2VUKNosjGY4jo5orzHKh1xe1XXAuAj,1777541633,2026-04-30T09:33:53,0.000012653,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,928349,82943020,82014671,So11111111111111111111111111111111111111111,9,1.0
58ZSUEADQJttLdghQ5X3TWh4woW4gzGGQWTgqAuSGh39h3ZRRgomwRU2784SW7jGc9ysCxTxizuyLECoxRvzKNYN,1777541512,2026-04-30T09:31:52,0.000015255,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,937023,83880043,82943020,So11111111111111111111111111111111111111111,9,1.0
YxYbCYqsY9pQrLwmsiwuyZ3Ry7RrbMFf3P7gDSBSadUH1pg8y7A3Qot1poo8Ev6gzkKcy8NSWZvnDsBHonvL2gm,1777541101,2026-04-30T09:25:01,0.000010923,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,922582,84802625,83880043,So11111111111111111111111111111111111111111,9,1.0
4GYS8UhcaxCz5UCQADuw18859wK6VYLfwYdXQhGdbAQA5Nr1SW8fQxAhcHgPDuENkz34rv5UVhCLdiwUDsJNdNTb,1777541091,2026-04-30T09:24:51,0.000011583,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2998862,87801487,84802625,So11111111111111111111111111111111111111111,9,1.0
5oaKdpFvJokZ9HZpcMWBvLfgomCFddf2xiWNeAcCJmM2pN26N6G4JMT7GM5XvfpgaCX6swFNuVg74xgktdvm1BAr,1777540747,2026-04-30T09:19:07,0.00001138,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,924105,88725592,87801487,So11111111111111111111111111111111111111111,9,1.0
4653wMC3Z3VWgHuV1dSY53ZHkQP8gGtrJGg5CnsnbZiesQhyMHLW88VFFbNZU1Pc8B72kfXinGjixB5AFcP871mi,1777540713,2026-04-30T09:18:33,0.000009986,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,9986,88735578,88725592,So11111111111111111111111111111111111111111,9,1.0
kByNEa6MbRXNCHiKYrxPiGmmdooWfXGjhYbQG5AJ9tAjSLJBgDFXfbQsYAz8F749PfChBbu8JxpJpK5Ana6GpBR,1777540258,2026-04-30T09:10:58,0.00001369,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,931805,89667383,88735578,So11111111111111111111111111111111111111111,9,1.0
4hqQxyY4JpVqe7RhrGSy9FEvprVPVwCHrsamaVubF2PKPiHKmY1Qs5BqFbyeZBNRGgc7X6WwquDRdbmhuKYrQjGw,1777540242,2026-04-30T09:10:42,0.000016132,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,939946,90607329,89667383,So11111111111111111111111111111111111111111,9,1.0
2rDWXS1VCXvQuaPVzCs43EVmjHCXD6VxQztmeGihqwhv5ZwUku3WGhzRrcZrvkwRYff8Udn8RAQgwPmvoMZ1qb8b,1777540195,2026-04-30T09:09:55,0.000012268,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,927066,91534395,90607329,So11111111111111111111111111111111111111111,9,1.0
581yCMxszX7dmqKHhwxEFqUh3Pb5rpm5pCarrHseHKHQMM4EXDXL516SVyd9nYZYzrjECAH3N5CAS2QAPaBXccZ7,1777540147,2026-04-30T09:09:07,0.000011968,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,3000146,94534541,91534395,So11111111111111111111111111111111111111111,9,1.0
4bfQYA98xZkiutLoZUE7zVhMFdXMniNjzZ84tUv6Jdjv5dNiv42WzsoX1y6Thj9eV5SRycRybrC48JznKGEDLFVd,1777540075,2026-04-30T09:07:55,0.000044935,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,1035956,95570497,94534541,So11111111111111111111111111111111111111111,9,1.0
3yi4cztrvLCvAFUrMJBbAXgWxtEyPD85qvd9bqJ8yQsaEXSZ55umtb3PDbnca2i6jAUocvc7m7F6V7b1yq9CJoUU,1777539882,2026-04-30T09:04:42,0.000012422,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,927580,96498077,95570497,So11111111111111111111111111111111111111111,9,1.0
66FdiQbaUDBTVjAugwkf913LoSZBizpaWumViFXsuiWxGyJUDwPDu7rabxend47s1uRSz6moZM89XH9RAVbzCY8J,1777539829,2026-04-30T09:03:49,0.000010198,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2994244,99492321,96498077,So11111111111111111111111111111111111111111,9,1.0
4yCRkp227Z3C7w4sNj29CMED9WNoMMKSQ57DauFWsCJ2zVGZTirqkEstNUU5sCa4YEZS4rRvWgbHH69Jm5R4AJh4,1777539782,2026-04-30T09:03:02,0.000009996,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2993571,102485892,99492321,So11111111111111111111111111111111111111111,9,1.0
3HiXrC7Sv9uGTXvP1Ro7p7rEatcj3SVJRXgysV6XAFRwe3qjPfK6rpuPwsDM7ZwHbsNHKz4Bsw5E9MjvrgoL1pUT,1777539487,2026-04-30T08:58:07,0.000011217,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,2997641,105483533,102485892,So11111111111111111111111111111111111111111,9,1.0
Y15LXLXb631ruLGYJGhsGiYX148oS3LHw1Vi2zbeuBc4BwD9HALkkyE4n9Ek8Fo7DZYzRsR5bQCZZzxDLBxtGeg,1777538368,2026-04-30T08:39:28,0.000013401,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,dec,3004922,108488455,105483533,So11111111111111111111111111111111111111111,9,1.0
