Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources,Token1Multiplier,Token2Multiplier
2MU3sxTk1uj7LPicXiJ5Tn8TxZbwEcRBjenRthAoszNuN8hSWdFoAzfLT8rn1LyDjvCqeXwDeu2UjDTPvNia4ojc,1777560731,2026-04-30T14:52:11.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,499996718,6,E8syR4zsgQG2zo9YyiyfX4ujubByR4z6qj9stjASpump,984172505966,6,500,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4|ALPHAQmeA7bjrVuccPsYPiCvsi428SNwte66Srvs4pHA|BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi|pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
4FWfAfKGnRoLfvUdfF8G8xwFueSSKxxxFxkYRf797sHHEiq6sVELu6NdKpK93zALNZrEg7D38yJeBxuq8tCYnfaV,1777560248,2026-04-30T14:44:08.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,99826562,6,H3fneDN1q6vepZajtx9iFiXMRdnVBCcJ3vkmrSEyGMAR,3965537539,6,99.84,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,1.0,1.0
38NLLqby4tFkgEGQFeNfHWgn8zMFS51qbGJm5QgvxYSYQRbjXU8WXDSCVAPMi6cBu46vc1vWuJE9QA3gtVbJH1Cs,1777558991,2026-04-30T14:23:11.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,So11111111111111111111111111111111111111112,8374628880,9,9AvytnUKsLxPxFHFqS6VLxaxt5p6BhYNr53SD2Chpump,376536571076,6,695.25,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
38NLLqby4tFkgEGQFeNfHWgn8zMFS51qbGJm5QgvxYSYQRbjXU8WXDSCVAPMi6cBu46vc1vWuJE9QA3gtVbJH1Cs,1777558991,2026-04-30T14:23:11.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,695396012,6,So11111111111111111111111111111111111111112,8376705406,9,695.42,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,1.0,1.0
31sL2CvreUbgNiyAszGXWyX42P3iDhRfVVJe4nxu1YMAwz1ALdu3E4VFjL9WnrfG2GLAs2G3X7MCE8eHLgFRcpGN,1777558255,2026-04-30T14:10:55.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,So11111111111111111111111111111111111111112,6010245268,9,CzHc1ugMNhim5JCJC8ebbp4k14jfrbZx1HNcMyEppump,1027660909133,6,499.32,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
31sL2CvreUbgNiyAszGXWyX42P3iDhRfVVJe4nxu1YMAwz1ALdu3E4VFjL9WnrfG2GLAs2G3X7MCE8eHLgFRcpGN,1777558255,2026-04-30T14:10:55.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,499996196,6,So11111111111111111111111111111111111111112,6011733321,9,499.44,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp,1.0,1.0
5jDzAAKAYkrXWWyEWCKYNiffi8oVgWHFQuhcRHNivBHpCisSK5kBug6gkGimAHjA9jWgKhmdSjptk3heGJ2JGRkW,1777558216,2026-04-30T14:10:16.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,So11111111111111111111111111111111111111112,2403655971,9,CzHc1ugMNhim5JCJC8ebbp4k14jfrbZx1HNcMyEppump,456417358463,6,199.88,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
5jDzAAKAYkrXWWyEWCKYNiffi8oVgWHFQuhcRHNivBHpCisSK5kBug6gkGimAHjA9jWgKhmdSjptk3heGJ2JGRkW,1777558216,2026-04-30T14:10:16.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,199996506,6,So11111111111111111111111111111111111111112,2404251083,9,199.92,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||goonuddtQRrWqqn5nFyczVKaie28f3kDkHWkHtURSLE,1.0,1.0
5byNgZvKrwEacqUwacCZvWQ9VxeXh2M7SdxUd3sCM2B1PJFGhDvqCZ1qzZNpBgFRcaMTwbQAgq9mdcbxUCGJS12z,1777558096,2026-04-30T14:08:16.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,So11111111111111111111111111111111111111112,6004836946,9,CzHc1ugMNhim5JCJC8ebbp4k14jfrbZx1HNcMyEppump,660857219353,6,500.39,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
5byNgZvKrwEacqUwacCZvWQ9VxeXh2M7SdxUd3sCM2B1PJFGhDvqCZ1qzZNpBgFRcaMTwbQAgq9mdcbxUCGJS12z,1777558096,2026-04-30T14:08:16.000Z,ACTIVITY_TOKEN_SWAP,CfsbuMYm6fYT7CpVHP2WfDWuAEfzwNg6U8TXUZGHprUX,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,499996885,6,So11111111111111111111111111111111111111112,6006323660,9,500.52,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt|HuTkmnrv4zPnArMqpbMbFhfwzTR7xfWQZHH1aQKzDKFZ,BN111AnCthcdPVNJ6jkir9TDaS7xqXT8EhetAmYpNqFt||9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp,1.0,1.0
